source,title,company,location,skills,link,skills_extracted,scraped_at
remoteok,personality & behavior tutor,xai,"palo alto, ca","['tutor', 'training', 'technical', 'support', 'software', 'excel', 'engineering']",https://remoteOK.com/remote-jobs/remote-personality-behavior-tutor-xai-1130398,"['engineering', 'excel', 'software', 'support', 'technical', 'training', 'tutor']",
remoteok,senior data engineer,exadel,"brazil, bulgaria, colombia, georgia, lithuania, poland, romania","['jira', 'salesforce', 'code', 'web', 'education', 'mobile', 'management', 'senior', 'operations', 'analytics', 'health', 'engineer', 'engineering']",https://remoteOK.com/remote-jobs/remote-senior-data-engineer-exadel-1130396,"['analytics', 'code', 'education', 'engineer', 'engineering', 'health', 'jira', 'management', 'mobile', 'operations', 'salesforce', 'senior', 'web']",
remoteok,automation sales manager,formic,"san francisco || sacramento, ca","['manager', 'support', 'growth', 'operational', 'sales', 'engineering']",https://remoteOK.com/remote-jobs/remote-automation-sales-manager-formic-1130395,"['engineering', 'growth', 'manager', 'operational', 'sales', 'support']",
remoteok,bilingual legal assistant,distro,buenos aires,"['assistant', 'legal', 'non tech']",https://remoteOK.com/remote-jobs/remote-bilingual-legal-assistant-distro-1130394,"['assistant', 'legal', 'non tech']",
remoteok,robotics field service engineer,formic,"boston, ma","['technical', 'support', 'robotics', 'operations', 'operational', 'engineer', 'engineering']",https://remoteOK.com/remote-jobs/remote-robotics-field-service-engineer-formic-1130393,"['engineer', 'engineering', 'operational', 'operations', 'robotics', 'support', 'technical']",
remoteok,senior lead product designer operations,monzo,cardiff london or  uk,"['design', 'designer', 'financial', 'education', 'bank', 'lead', 'senior', 'operations', 'engineering', 'digital nomad']",https://remoteOK.com/remote-jobs/remote-senior-lead-product-designer-operations-monzo-1130392,"['bank', 'design', 'designer', 'digital nomad', 'education', 'engineering', 'financial', 'lead', 'operations', 'senior']",
remoteok,data analyst,valtech,brazil,"['analyst', 'growth']",https://remoteOK.com/remote-jobs/remote-data-analyst-valtech-1130391,"['analyst', 'growth']",
remoteok,specialist business development and projects,stranger soccer,remote,"['support', 'travel', 'mobile', 'sales', 'executive']",https://remoteOK.com/remote-jobs/remote-specialist-business-development-and-projects-stranger-soccer-1130389,"['executive', 'mobile', 'sales', 'support', 'travel']",
remoteok,field marketing manager,cogent security,all,"['infosec', 'manager', 'security', 'exec', 'leader', 'strategy', 'management', 'marketing', 'sales', 'executive']",https://remoteOK.com/remote-jobs/remote-field-marketing-manager-cogent-security-1130388,"['exec', 'executive', 'infosec', 'leader', 'management', 'manager', 'marketing', 'sales', 'security', 'strategy']",
remoteok,manager paid social and digital acquisition,cogent security,all,"['infosec', 'manager', 'saas', 'security', 'testing', 'test', 'marketing']",https://remoteOK.com/remote-jobs/remote-manager-paid-social-and-digital-acquisition-cogent-security-1130387,"['infosec', 'manager', 'marketing', 'saas', 'security', 'test', 'testing']",
remoteok,regional lead civil engineer bridge & structures,bkf engineers,remote,"['design', 'consultant', 'consulting', 'technical', 'recruiter', 'support', 'code', 'travel', 'financial', 'lead', 'engineer', 'engineering', 'digital nomad']",https://remoteOK.com/remote-jobs/remote-regional-lead-civil-engineer-bridge-structures-bkf-engineers-1130386,"['code', 'consultant', 'consulting', 'design', 'digital nomad', 'engineer', 'engineering', 'financial', 'lead', 'recruiter', 'support', 'technical', 'travel']",
remoteok,senior manager payroll,compass surgical partners,remote,"['manager', 'payroll', 'hr', 'system', 'training', 'recruiter', 'support', 'testing', 'growth', 'education', 'management', 'lead', 'senior', 'operations', 'operational', 'excel', 'legal', 'health', 'healthcare']",https://remoteOK.com/remote-jobs/remote-senior-manager-payroll-compass-surgical-partners-1130385,"['education', 'excel', 'growth', 'health', 'healthcare', 'hr', 'lead', 'legal', 'management', 'manager', 'operational', 'operations', 'payroll', 'recruiter', 'senior', 'support', 'system', 'testing', 'training']",
remoteok,director of product marketing,cogent security,all,"['infosec', 'director', 'security', 'technical', 'web', 'content', 'marketing', 'sales']",https://remoteOK.com/remote-jobs/remote-director-of-product-marketing-cogent-security-1130384,"['content', 'director', 'infosec', 'marketing', 'sales', 'security', 'technical', 'web']",
remoteok,team lead,32co,india,"['design', 'designer', 'support', 'testing', 'growth', 'management', 'lead', 'operations', 'operational', 'health', 'healthcare', 'digital nomad']",https://remoteOK.com/remote-jobs/remote-team-lead-32co-1130383,"['design', 'designer', 'digital nomad', 'growth', 'health', 'healthcare', 'lead', 'management', 'operational', 'operations', 'support', 'testing']",
remoteok,revenue operations manager,easyllama,remote,"['manager', 'saas', 'hr', 'training', 'ceo', 'support', 'lead', 'operations', 'operational', 'sales', 'health', 'non tech']",https://remoteOK.com/remote-jobs/remote-revenue-operations-manager-easyllama-1130382,"['ceo', 'health', 'hr', 'lead', 'manager', 'non tech', 'operational', 'operations', 'saas', 'sales', 'support', 'training']",
remoteok,senior manager site reliability engineer,ping identity,usa,"['manager', 'saas', 'devops', 'cloud', 'senior', 'operations', 'operational', 'reliability', 'engineer']",https://remoteOK.com/remote-jobs/remote-senior-manager-site-reliability-engineer-ping-identity-1130380,"['cloud', 'devops', 'engineer', 'manager', 'operational', 'operations', 'reliability', 'saas', 'senior']",
remoteok,manager tax controversy,aprio,remote,"['manager', 'consulting', 'technical', 'support', 'growth', 'management', 'lead', 'full-time']",https://remoteOK.com/remote-jobs/remote-manager-tax-controversy-aprio-1130379,"['consulting', 'full-time', 'growth', 'lead', 'management', 'manager', 'support', 'technical']",
remoteok,content manager,nmi,"remote, us","['manager', 'embedded', 'technical', 'writer', 'support', 'fintech', 'strategy', 'lead', 'content', 'senior', 'marketing']",https://remoteOK.com/remote-jobs/remote-content-manager-nmi-1130378,"['content', 'embedded', 'fintech', 'lead', 'manager', 'marketing', 'senior', 'strategy', 'support', 'technical', 'writer']",
remoteok,associate director program management,"adverum biotechnologies, inc.","redwood city, ca","['director', 'design', 'support', 'qa', 'strategy', 'management', 'operations', 'operational', 'digital nomad']",https://remoteOK.com/remote-jobs/remote-associate-director-program-management-adverum-biotechnologies-inc-1130377,"['design', 'digital nomad', 'director', 'management', 'operational', 'operations', 'qa', 'strategy', 'support']",
